Token Type      | Lexeme                   | Value
------------------------------------------------------------
MODULE          | MODULE                   | None
ID              | ComplexExample           | None
SEMICOLON       | ;                        | None
PROCEDURE       | PROCEDURE                | None
ID              | Main                     | None
IS              | IS                       | None
CONSTANT        | CONSTANT                 | None
ID              | Pi                       | None
COLON           | :                        | None
FLOAT           | FLOAT                    | None
ASSIGN          | :=                       | None
REAL            | 3.14159                  | 3.14159
SEMICOLON       | ;                        | None
ID              | X                        | None
COMMA           | ,                        | None
ID              | Y                        | None
COLON           | :                        | None
INTEGER         | INTEGER                  | None
SEMICOLON       | ;                        | None
BEGIN           | BEGIN                    | None
ID              | X                        | None
ASSIGN          | :=                       | None
NUM             | 10                       | 10
SEMICOLON       | ;                        | None
ID              | Y                        | None
ASSIGN          | :=                       | None
ID              | X                        | None
MULOP           | *                        | None
NUM             | 2                        | 2
ADDOP           | +                        | None
NUM             | 5                        | 5
SEMICOLON       | ;                        | None
WHILE           | WHILE                    | None
ID              | Y                        | None
RELOP           | >                        | None
ID              | X                        | None
LOOP            | LOOP                     | None
IF              | IF                       | None
ID              | Y                        | None
ID              | mod                      | None
NUM             | 2                        | 2
RELOP           | =                        | None
NUM             | 0                        | 0
THEN            | THEN                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Even Number: "          | None
CONCAT          | &                        | None
ID              | Y                        | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
ELSE            | ELSE                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Odd Number: "           | None
CONCAT          | &                        | None
ID              | Y                        | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
IF              | IF                       | None
SEMICOLON       | ;                        | None
ID              | Y                        | None
ASSIGN          | :=                       | None
ID              | Y                        | None
ADDOP           | -                        | None
NUM             | 1                        | 1
SEMICOLON       | ;                        | None
END             | END                      | None
LOOP            | LOOP                     | None
SEMICOLON       | ;                        | None
PROCEDURE       | PROCEDURE                | None
ID              | InnerProcedure           | None
IS              | IS                       | None
ID              | Z                        | None
COLON           | :                        | None
INTEGER         | INTEGER                  | None
ASSIGN          | :=                       | None
NUM             | 100                      | 100
SEMICOLON       | ;                        | None
BEGIN           | BEGIN                    | None
ID              | Z                        | None
ASSIGN          | :=                       | None
ID              | Z                        | None
MULOP           | /                        | None
NUM             | 2                        | 2
SEMICOLON       | ;                        | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Inner Z Value: "        | None
CONCAT          | &                        | None
ID              | Z                        | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
ID              | InnerProcedure           | None
SEMICOLON       | ;                        | None
ID              | InnerProcedure           | None
SEMICOLON       | ;                        | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Final Values: X="       | None
CONCAT          | &                        | None
ID              | X                        | None
CONCAT          | &                        | None
LITERAL         | ", Y="                   | None
CONCAT          | &                        | None
ID              | Y                        | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
ID              | Main                     | None
SEMICOLON       | ;                        | None
EOF             | EOF                      | None
