Token Type      | Lexeme                   | Value
------------------------------------------------------------
MODULE          | MODULE                   | None
ID              | TestProgram              | None
SEMICOLON       | ;                        | None
PROCEDURE       | PROCEDURE                | None
ID              | Main                     | None
IS              | IS                       | None
SEMICOLON       | ;                        | None
CONSTANT        | CONSTANT                 | None
ID              | greeting                 | None
COLON           | :                        | None
INTEGER         | INTEGER                  | None
ASSIGN          | :=                       | None
NUM             | 0                        | 0
SEMICOLON       | ;                        | None
BEGIN           | BEGIN                    | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Hello, Ada!"            | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "She said, ""Hello"" to me" | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
PUT             | PUT                      | None
LPAREN          | (                        | None
ID              | This                     | None
ID              | literal                  | None
IS              | is                       | None
ID              | unterminated             | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
ID              | C                        | None
ASSIGN          | :=                       | None
CHAR_LITERAL    | 'A'                      | None
SEMICOLON       | ;                        | None
ID              | D                        | None
ASSIGN          | :=                       | None
CHAR_LITERAL    | 'B'                      | None
SEMICOLON       | ;                        | None
ID              | X                        | None
ASSIGN          | :=                       | None
NUM             | 42                       | 42
SEMICOLON       | ;                        | None
ID              | Y                        | None
ASSIGN          | :=                       | None
REAL            | 3.14159                  | 3.14159
SEMICOLON       | ;                        | None
ID              | Z                        | None
ASSIGN          | :=                       | None
NUM             | 42                       | 42
MULOP           | *                        | None
NUM             | 2                        | 2
ADDOP           | +                        | None
NUM             | 10                       | 10
ADDOP           | -                        | None
NUM             | 3                        | 3
SEMICOLON       | ;                        | None
IF              | IF                       | None
ID              | X                        | None
RELOP           | <                        | None
ID              | Y                        | None
THEN            | THEN                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "X is less than Y"       | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
ELSIF           | ELSIF                    | None
ID              | X                        | None
RELOP           | =                        | None
ID              | Y                        | None
THEN            | THEN                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "X equals Y"             | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
ELSE            | ELSE                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "X is greater than Y"    | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
IF              | IF                       | None
SEMICOLON       | ;                        | None
WHILE           | WHILE                    | None
ID              | X                        | None
RELOP           | /=                       | None
ID              | Y                        | None
LOOP            | LOOP                     | None
ID              | X                        | None
ASSIGN          | :=                       | None
ID              | X                        | None
ADDOP           | +                        | None
NUM             | 1                        | 1
SEMICOLON       | ;                        | None
END             | END                      | None
LOOP            | LOOP                     | None
SEMICOLON       | ;                        | None
PROCEDURE       | PROCEDURE                | None
ID              | Inner                    | None
IS              | IS                       | None
SEMICOLON       | ;                        | None
BEGIN           | BEGIN                    | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Inside inner procedure" | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
ID              | Inner                    | None
SEMICOLON       | ;                        | None
ID              | Inner                    | None
SEMICOLON       | ;                        | None
IF              | IF                       | None
LPAREN          | (                        | None
ID              | X                        | None
RELOP           | <=                       | None
ID              | Y                        | None
RPAREN          | )                        | None
ID              | and                      | None
LPAREN          | (                        | None
ID              | Y                        | None
RELOP           | >=                       | None
ID              | X                        | None
RPAREN          | )                        | None
THEN            | then                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Relational test passed" | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
IF              | IF                       | None
SEMICOLON       | ;                        | None
ID              | ValidIdent1234567        | None
ASSIGN          | :=                       | None
NUM             | 100                      | 100
SEMICOLON       | ;                        | None
ASSIGN          | :=                       | None
NUM             | 200                      | 200
SEMICOLON       | ;                        | None
IF              | IF                       | None
ID              | X                        | None
ID              | mod                      | None
NUM             | 2                        | 2
RELOP           | =                        | None
NUM             | 0                        | 0
ID              | or                       | None
ID              | X                        | None
ID              | rem                      | None
NUM             | 3                        | 3
RELOP           | =                        | None
NUM             | 1                        | 1
THEN            | then                     | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Operator test"          | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
IF              | IF                       | None
SEMICOLON       | ;                        | None
PUT             | PUT                      | None
LPAREN          | (                        | None
LITERAL         | "Final value: "          | None
CONCAT          | &                        | None
LITERAL         | " X = "                  | None
CONCAT          | &                        | None
ID              | X                        | None
CONCAT          | &                        | None
LITERAL         | ", Y = "                 | None
CONCAT          | &                        | None
ID              | Y                        | None
RPAREN          | )                        | None
SEMICOLON       | ;                        | None
END             | END                      | None
ID              | Main                     | None
SEMICOLON       | ;                        | None
EOF             | EOF                      | None
